200,1506248109,7.70236
400,1506248113,7.68793
600,1506248117,7.6694
800,1506248121,7.65888
1000,1506248125,7.6491
1200,1506248129,7.6303
1400,1506248133,7.61499
1600,1506248137,7.59938
1800,1506248141,7.58318
2000,1506248145,6.57241
2200,1506248149,6.55164
2400,1506248153,6.53956
2600,1506248157,6.52811
2800,1506248161,6.509
3000,1506248165,6.49088
3200,1506248169,6.48224
3400,1506248173,6.46751
3600,1506248177,6.45027
3800,1506248181,6.43804
4000,1506248185,5.49174
4200,1506248189,5.40998
4400,1506248193,5.39816
4600,1506248197,5.38301
4800,1506248201,5.36791
5000,1506248205,5.35224
5200,1506248209,5.33881
5400,1506248213,5.32309
5600,1506248217,5.30856
5800,1506248221,4.29066
6000,1506248225,4.27306
6200,1506248229,4.46509
6400,1506248233,4.3351
6600,1506248237,4.22688
6800,1506248241,4.22147
7000,1506248245,4.20277
7200,1506248249,4.18893
